,ch1,timestamp
10000,-15.816839541814755,1608571661.361922
10001,2594.579450254345,1608571661.362871
10002,5032.688083596438,1608571661.362871
10003,7106.970100857175,1608571661.36389
10004,8698.10522128355,1608571661.36389
10005,9684.964426623159,1608571661.364867
10006,10008.381096866324,1608571661.364867
10007,9637.27226882609,1608571661.365875
10008,8582.98850792586,1608571661.365875
10009,6930.647758664925,1608571661.365875
10010,4800.729334211103,1608571661.366898
10011,2351.5932457978242,1608571661.367872
10012,-260.5663854233626,1608571661.367872
10013,-2840.5250661723094,1608571661.368897
10014,-5233.126375344546,1608571661.369853
10015,-7273.011839860174,1608571661.369853
10016,-8810.547398007087,1608571661.370862
10017,-9733.20210335846,1608571661.370862
10018,-9984.960485179685,1608571661.370862
10019,-9550.75773190894,1608571661.371858
10020,-8449.680394992392,1608571661.371858
10021,-6748.252770794222,1608571661.371858
10022,-4597.302112631318,1608571661.372871
10023,-2131.9160321973955,1608571661.372871
10024,508.6696662448341,1608571661.373844
10025,3089.509285569241,1608571661.373844
10026,5453.434891333831,1608571661.374842
10027,7442.7502483523485,1608571661.374842
10028,8925.84247843496,1608571661.375849
10029,9803.73412555611,1608571661.375849
10030,9974.538328567933,1608571661.375849
10031,9464.849655340191,1608571661.376836
10032,8302.050743062377,1608571661.376836
10033,6579.04669901802,1608571661.377869
10034,4387.613873288596,1608571661.377869
10035,1868.403974878155,1608571661.377869
10036,-765.7368938034267,1608571661.378829
10037,-3331.860936810438,1608571661.378829
10038,-5674.541491081104,1608571661.378829
10039,-7623.529046164891,1608571661.379827
10040,-9035.04872437222,1608571661.411776
10041,-9837.629047581087,1608571661.412738
10042,-9969.066158449396,1608571661.412738
10043,-9394.863418481826,1608571661.413741
10044,-8168.325092362447,1608571661.413741
10045,-6375.920016405488,1608571661.414733
10046,-4137.361620789473,1608571661.414733
10047,-1615.3808471888465,1608571661.415732
10048,1010.4075756145921,1608571661.415732
10049,3567.1235568664233,1608571661.416766
10050,5881.443933704083,1608571661.417767
10051,7785.630728185886,1608571661.417767
10052,9157.85889582609,1608571661.418723
10053,9884.964304868698,1608571661.418723
10054,9942.514241485378,1608571661.41972
10055,9292.807015507775,1608571661.41972
10056,8018.7308428746765,1608571661.420717
10057,6188.528042789768,1608571661.420717
10058,3901.8131360013454,1608571661.421733
10059,1372.563341183525,1608571661.421733
10060,-1252.7189602861083,1608571661.421733
10061,-3803.1349255233486,1608571661.422775
10062,-6088.404970957541,1608571661.42371
10063,-7954.25757727572,1608571661.424708
10064,-9248.086903388794,1608571661.425705
10065,-9916.688378261384,1608571661.426704
10066,-9910.360983875442,1608571661.426704
10067,-9201.792712047769,1608571661.427699
10068,-7843.116070898342,1608571661.427699
10069,-5964.293424450144,1608571661.427699
10070,-3691.100414263069,1608571661.428696
10071,-1138.2145233883923,1608571661.428696
10072,1500.5948754803912,1608571661.428696
10073,4038.5451544254915,1608571661.429693
10074,6269.1842572775195,1608571661.429693
10075,8063.228107610667,1608571661.429693
10076,9332.892789174603,1608571661.429693
10077,9948.762543094917,1608571661.43069
10078,9882.726525038344,1608571661.43069
10079,9109.537160921618,1608571661.43069
10080,7710.980303260753,1608571661.444687
10081,5775.41899670003,1608571661.44568
10082,3444.6603367963676,1608571661.44568
10083,875.3606867693875,1608571661.446649
10084,-1746.3942804452665,1608571661.446649
10085,-4251.78427265237,1608571661.446649
10086,-6475.529707860074,1608571661.447677
10087,-8235.09590124584,1608571661.447677
10088,-9434.495798107664,1608571661.447677
10089,-9969.599409512462,1608571661.448645
10090,-9812.002893181181,1608571661.448645
10091,-8997.107671268088,1608571661.449644
10092,-7543.372377032335,1608571661.450643
10093,-5575.75964560686,1608571661.450643
10094,-3205.6391635848963,1608571661.451652
10095,-620.3553079819278,1608571661.451652
10096,2013.744907038012,1608571661.451652
10097,4497.433091567168,1608571661.452686
10098,6654.530713025509,1608571661.452686
10099,8373.298587988103,1608571661.453659
10100,9516.982718487869,1608571661.453659
10101,9981.63790808182,1608571661.453659
10102,9765.536843976926,1608571661.454626
10103,8860.680418625909,1608571661.454626
10104,7355.352599438839,1608571661.454626
10105,5367.089928816236,1608571661.455678
10106,2973.9103114080676,1608571661.456624
10107,382.5783536780616,1608571661.457624
10108,-2236.212405929779,1608571661.458617
10109,-4693.383390267587,1608571661.458617
10110,-6846.003254877906,1608571661.459654
10111,-8515.329709525682,1608571661.460624
10112,-9600.378911726366,1608571661.460624
10113,-10001.42401181179,1608571661.461607
10114,-9714.96220534221,1608571661.461607
10115,-8760.605908288437,1608571661.461607
10116,-7205.857139440964,1608571661.461607
10117,-5140.782044509852,1608571661.462605
10118,-2726.3277282762606,1608571661.462605
10119,-124.17024705731666,1608571661.462605
10120,2489.2952200900727,1608571661.493555
10121,4928.977551415426,1608571661.494524
10122,7028.6272229784545,1608571661.494524
10123,8621.710549785808,1608571661.495579
10124,9644.039178551264,1608571661.495579
10125,9991.149501421223,1608571661.495579
10126,9659.8205495947,1608571661.496514
10127,8647.086985213546,1608571661.496514
10128,7037.720184248786,1608571661.497558
10129,4932.216138720479,1608571661.497558
10130,2476.5585616626886,1608571661.498577
10131,-122.70753492031594,1608571661.498577
10132,-2730.477082968958,1608571661.499511
10133,-5137.67527600104,1608571661.500509
10134,-7195.610863812806,1608571661.500509
10135,-8756.378589263635,1608571661.501505
10136,-9713.651843554835,1608571661.502498
10137,-10004.416630655478,1608571661.502498
10138,-9581.836113571093,1608571661.503556
10139,-8518.056310687463,1608571661.503556
10140,-6851.8500706798595,1608571661.504531
10141,-4706.577742222359,1608571661.504531
10142,-2254.573377079954,1608571661.505492
10143,369.215700864024,1608571661.505492
10144,2972.8898834240385,1608571661.505492
10145,5357.742860383238,1608571661.506487
10146,7380.151250357385,1608571661.506487
10147,8902.710770771895,1608571661.507485
10148,9790.799072070626,1608571661.507485
10149,9994.550133552379,1608571661.508525
10150,9494.830143543844,1608571661.508525
10151,8375.76669028169,1608571661.509487
10152,6662.603757127828,1608571661.509487
10153,4473.3571793014535,1608571661.509487
10154,2000.4774419482505,1608571661.509487
10155,-613.2292758274435,1608571661.510478
10156,-3205.558873724664,1608571661.510478
10157,-5576.467445033493,1608571661.510478
10158,-7552.962006515996,1608571661.511476
10159,-8998.664295783565,1608571661.511476
10160,-9829.303637692636,1608571661.526467
10161,-9972.14589682374,1608571661.527442
10162,-9426.482217507286,1608571661.527442
10163,-8226.443480799942,1608571661.52844
10164,-6468.095025732114,1608571661.52844
10165,-4279.90938959557,1608571661.52844
10166,-1769.9862068439586,1608571661.529432
10167,874.432113385669,1608571661.529432
10168,3452.5629474233215,1608571661.529432
10169,5765.694647327614,1608571661.530428
10170,7702.781534413307,1608571661.531487
10171,9096.264151442974,1608571661.532464
10172,9865.038943011534,1608571661.532464
10173,9961.347149480194,1608571661.533466
10174,9347.672340446716,1608571661.533466
10175,8102.294763634202,1608571661.534449
10176,6299.760235818339,1608571661.534449
10177,4041.0194709590905,1608571661.534449
10178,1504.3861813164083,1608571661.535464
10179,-1126.9357874088792,1608571661.535464
10180,-3687.0727220216145,1608571661.535464
10181,-5977.844432583117,1608571661.536453
10182,-7874.758923649584,1608571661.536453
10183,-9211.3321234306,1608571661.536453
10184,-9914.358698668888,1608571661.537438
10185,-9912.418864425403,1608571661.537438
10186,-9240.485222468038,1608571661.538439
10187,-7937.802785156328,1608571661.538439
10188,-6076.1460724652725,1608571661.538439
10189,-3801.5800776052606,1608571661.539434
10190,-1263.4843995911333,1608571661.539434
